Date,1. Open,2. High,3. Low,4. Close,5. Volume
09/06/2020,231.52,239.77,230.41,238.67,27462872
10/06/2020,240.96,241.21,235.28,236.73,20720709
11/06/2020,229.94,232.89,223.55,224.43,26708163
12/06/2020,229.9,231.66,224.5,228.58,22091387
15/06/2020,225.09,233.77,224.8,232.5,15340264
16/06/2020,237.14,238.46,233,235.65,15236691
17/06/2020,235,237.59,231.7268,235.53,19578125
18/06/2020,234.99,236.14,232.15,235.94,15782452
19/06/2020,237.79,240.83,235.55,238.79,30081291
22/06/2020,238.56,240.7,236.91,239.22,18917782
23/06/2020,241.28,245.1853,239.86,242.24,24017915
24/06/2020,241.2,243.22,232.68,234.02,20834904
25/06/2020,234.62,237.3,232.74,235.68,18704339
26/06/2020,232.64,233.09,215.4,216.08,76343939
29/06/2020,209.75,220.75,207.11,220.64,58514281
30/06/2020,220.59,227.5,218.47,227.07,33927068
01/07/2020,228.5,239,227.56,237.55,43403869
02/07/2020,239,240,232.61,233.42,30635970
06/07/2020,233.76,240.4,232.27,240.28,26208488
07/07/2020,239.41,247.65,238.82,240.86,27887936
08/07/2020,238.11,246.99,236.59,243.58,29793184
09/07/2020,245,246.53,239.24,244.5,22175054
10/07/2020,243.69,245.49,239.32,245.07,22982716
13/07/2020,247.01,250.15,238.42,239,24674883
14/07/2020,236.76,240.33,232.03,239.73,23378056
15/07/2020,241.55,244.82,238.05,240.28,19134627
16/07/2020,238,241.76,236.33,240.93,18880800
17/07/2020,241,244.16,237.86,242.03,18152413
20/07/2020,240.06,246.05,235.64,245.42,20797388
21/07/2020,246.22,246.91,240.08,241.75,18646840
22/07/2020,240.26,241.9,238.12,239.87,15427885
23/07/2020,239.63,242.42,231.75,232.6,21771802
24/07/2020,230.19,233.49,226.9,230.71,18325813
27/07/2020,231.46,234.95,230.83,233.5,13163083
28/07/2020,234.63,234.96,229.83,230.12,14170112
29/07/2020,231.14,233.7,230.31,233.29,13588317
30/07/2020,230.22,234.893,229,234.5,20615306
31/07/2020,255.82,255.85,249,253.67,53030037
03/08/2020,252.65,255.4,250.33,251.96,23134103
04/08/2020,251.56,252.8,247.43,249.83,17183533
05/08/2020,250.19,252.2698,247.77,249.12,13088361
06/08/2020,249.04,266.6,248.665,265.28,45241611
07/08/2020,264.08,278.89,263.43,268.44,72766364
10/08/2020,268.04,273.86,259.69,263,30248826
11/08/2020,260.185,265.915,255.13,256.13,28238283
12/08/2020,258.97,263.8973,258.1125,259.89,21428329
13/08/2020,261.55,265.16,259.57,261.3,17373970
14/08/2020,262.305,262.65,258.6801,261.24,14792708
17/08/2020,262.5,264.0973,259.4,261.16,13303174
18/08/2020,260.95,265.15,259.26,262.34,18690383
19/08/2020,261.388,267.908,261.35,262.59,23291463
20/08/2020,261.5,269.63,261.46,269.01,20299688
21/08/2020,268.69,270.49,266.42,267.01,15538615
24/08/2020,271.07,277.2478,268.7701,271.39,23685603
25/08/2020,272.41,283.09,270.2601,280.82,42127240
26/08/2020,284,304.67,284,303.91,69015151
27/08/2020,300.16,301.23,292.02,293.22,30301309
28/08/2020,295,297.23,290.98,293.66,17172415
31/08/2020,293.95,296.88,291.55,293.2,17345134
01/09/2020,294.71,301.49,292.71,295.44,17320872
02/09/2020,298.88,303.6,293.05,302.5,24341369
03/09/2020,295.99,297.6,283.63,291.12,32294092
04/09/2020,287.25,289,271.14,282.73,30333671
08/09/2020,271.28,279.3,269.42,271.16,24863997
09/09/2020,275.77,278.48,271.35,273.72,22918769
10/09/2020,275.51,279.16,267.0319,268.09,24814669
11/09/2020,270.06,271.39,262.64,266.61,18913883
14/09/2020,270.95,276.64,265.7,266.15,24093830
15/09/2020,270.67,274.52,269.3,272.42,18478530
16/09/2020,267.29,272.44,261.79,263.52,29207594
17/09/2020,258.28,261.5,250.19,254.82,31281441
18/09/2020,258.405,259.2,250.05,252.53,28130767
21/09/2020,247.54,249.95,244.13,248.15,24709378
22/09/2020,253.31,255.32,248.22,254.75,30293103
23/09/2020,255.26,257.9921,248.15,249.02,19641266
24/09/2020,246.5,252.24,245.62,249.53,20006750
25/09/2020,249.4,255.75,246.61,254.82,18351311
28/09/2020,259.4,259.6,254.8208,256.82,18826254
29/09/2020,257.81,263.33,256.9,261.79,20215504
30/09/2020,261.98,266.085,260.1,261.9,20142546
01/10/2020,265.35,268.33,264.8,266.63,20009801
02/10/2020,261.21,265.15,259.18,259.94,16367597
05/10/2020,262.2,264.865,260.8401,264.65,12822252
06/10/2020,261.78,265.69,258.24,258.66,18696917
07/10/2020,259.21,260.18,254.82,258.12,23133417
08/10/2020,259.75,264.62,259.1488,263.76,16312762
09/10/2020,264.52,264.75,262.17,264.45,14107803
12/10/2020,270.2,280.18,267.87,275.75,31019256
13/10/2020,277.58,279.1,273.39,276.14,18063343
14/10/2020,277.62,278.75,271.5,271.82,15601154
15/10/2020,267.6,269.04,263.67,266.72,15416064
16/10/2020,267.375,271.37,265.3,265.93,16622702
19/10/2020,265.53,268.55,259.88,261.4,13586955
20/10/2020,263.06,269.7,262.88,267.56,18763246
21/10/2020,279.56,283.05,276.37,278.73,28998638
22/10/2020,279.87,282.45,275.04,278.12,16720026
23/10/2020,278.8024,285.24,276.82,284.79,17535155
26/10/2020,283.16,285.23,274.26,277.11,21322925
27/10/2020,278.76,284.51,276.31,283.29,16287249
28/10/2020,278.79,278.79,267.26,267.67,23121808
29/10/2020,276.55,283.6,273.78,280.83,32368118
30/10/2020,274.5,276.7,259.1,263.11,47299002
02/11/2020,264.6,270.47,257.34,261.36,27165679
03/11/2020,263.16,270.05,260.88,265.3,17961859
04/11/2020,281,288.94,278.62,287.38,35364424
05/11/2020,291.8965,297.38,288.95,294.68,23823633
06/11/2020,293.95,294.6,288.06,293.41,13890974
09/11/2020,289.87,292.58,278.53,278.77,25117650
10/11/2020,273.1,274,264,272.43,29067691
11/11/2020,273.47,278.4,272.48,276.48,14956950
12/11/2020,277.18,279.75,274.43,275.08,12914206
13/11/2020,277.72,277.76,273.1,276.95,10400101
16/11/2020,275.05,279.41,274.63,278.96,12970352
17/11/2020,277.68,277.68,273.29,275,15040297
18/11/2020,274.52,277.3889,271.84,271.97,12152945
19/11/2020,271.025,273.47,269.19,272.94,12963658
20/11/2020,272.56,273,269.41,269.7,18122412
23/11/2020,270.89,270.9471,264.53,268.43,20990786
24/11/2020,268.49,277.8199,267.87,276.92,16852501
25/11/2020,278.14,280.18,272.65,275.59,12467009
27/11/2020,277.39,279.13,274.82,277.81,7808426
30/11/2020,276.03,277.7,271.01,276.97,16693336
01/12/2020,279.16,289.3,278.96,286.55,20602115
02/12/2020,285.36,291.78,280.825,287.52,17361624
03/12/2020,286.25,286.65,281.07,281.85,12921694
04/12/2020,280.3,283.46,279.3,279.7,10880299
07/12/2020,279.19,288.49,278.2,285.58,13007665
08/12/2020,286.01,286.4272,281.55,283.4,10747650
09/12/2020,283.66,287.63,271.75,277.92,25189707
10/12/2020,275.535,278.73,271.86,277.12,20065091
11/12/2020,274.53,276.48,270.25,273.55,14391401
